year,seção_id,seção_descrição,divisão_id,divisão_descrição,numero_de_empresas,pessoal_ocupado_total,pessoal_ocupado_assalariados,alto_crescimento
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",39,Descontaminação e outros serviços de gestão de resíduos,-1,-1,-1,Gazela
2014,F,Construção,41,Construção de edifícios,824,75428,74264,Gazela
2014,F,Construção,42,Obras de infraestrutura,213,80043,79745,Gazela
2014,F,Construção,43,Serviços especializados para construção,553,40130,39332,Gazela
2014,G,Comércio; reparação de veículos automotores e motocicletas,45,Comércio e reparação de veículos automotores e motocicletas,283,18691,18355,Gazela
2014,G,Comércio; reparação de veículos automotores e motocicletas,46,"Comércio por atacado, exceto veículos automotores e motocicletas",732,51258,50282,Gazela
2014,G,Comércio; reparação de veículos automotores e motocicletas,47,Comércio varejista,2098,136221,133363,Gazela
2014,H,"Transporte, armazenagem e correio",49,Transporte terrestre,589,55422,54534,Gazela
2014,H,"Transporte, armazenagem e correio",50,Transporte aquaviário,15,2412,2394,Gazela
2014,H,"Transporte, armazenagem e correio",51,Transporte aéreo,4,10731,10723,Gazela
2014,H,"Transporte, armazenagem e correio",52,Armazenamento e atividades auxiliares dos transportes,175,20229,19976,Gazela
2014,H,"Transporte, armazenagem e correio",53,Correio e outras atividades de entrega,75,5624,5527,Gazela
2014,I,Alojamento e alimentação,55,Alojamento,84,6308,6193,Gazela
2014,I,Alojamento e alimentação,56,Alimentação,758,55018,53979,Gazela
2014,J,Informação e comunicação,58,Edição e edição integrada à impressão,14,1148,1132,Gazela
2014,J,Informação e comunicação,59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",7,1737,1730,Gazela
2014,J,Informação e comunicação,60,Atividades de rádio e de televisão,4,2716,2711,Gazela
2014,J,Informação e comunicação,61,Telecomunicações,65,5920,5812,Gazela
2014,J,Informação e comunicação,62,Atividades dos serviços de tecnologia da informação,162,17666,17379,Gazela
2014,J,Informação e comunicação,63,Atividades de prestação de serviços de informação,41,2699,2623,Gazela
2014,K,"Atividades financeiras, de seguros e serviços relacionados",64,Atividades de serviços financeiros,51,5551,5368,Gazela
2014,K,"Atividades financeiras, de seguros e serviços relacionados",65,"Seguros, resseguros, previdência complementar e planos de saúde",6,368,354,Gazela
2014,K,"Atividades financeiras, de seguros e serviços relacionados",66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",41,4149,4042,Gazela
2014,L,Atividades imobiliárias,68,Atividades imobiliárias,49,3457,3367,Gazela
2014,M,"Atividades profissionais, científicas e técnicas",69,"Atividades jurídicas, de contabilidade e de auditoria",117,4472,4225,Gazela
2014,M,"Atividades profissionais, científicas e técnicas",70,Atividades de sedes de empresas e de consultoria em gestão empresarial,41,6107,6037,Gazela
2014,M,"Atividades profissionais, científicas e técnicas",71,Serviços de arquitetura e engenharia; testes e análises técnicas,127,13150,12919,Gazela
2014,M,"Atividades profissionais, científicas e técnicas",72,Pesquisa e desenvolvimento científico,1,-1,-1,Gazela
2014,M,"Atividades profissionais, científicas e técnicas",73,Publicidade e pesquisa de mercado,54,4382,4304,Gazela
2014,M,"Atividades profissionais, científicas e técnicas",74,"Outras atividades profissionais, científicas e técnicas",27,4703,4656,Gazela
2014,M,"Atividades profissionais, científicas e técnicas",75,Atividades veterinárias,2,-1,-1,Gazela
2014,N,Atividades administrativas e serviços complementares,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,172,11269,11009,Gazela
2014,N,Atividades administrativas e serviços complementares,78,"Seleção, agenciamento e locação de mão-de-obra",149,51409,51185,Gazela
2014,N,Atividades administrativas e serviços complementares,79,"Agências de viagens, operadores turísticos e serviços de reservas",35,2327,2270,Gazela
2014,N,Atividades administrativas e serviços complementares,80,"Atividades de vigilância, segurança e investigação",275,52601,52253,Gazela
2014,N,Atividades administrativas e serviços complementares,81,Serviços para edifícios e atividades paisagísticas,568,97076,96300,Gazela
2014,N,Atividades administrativas e serviços complementares,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",437,99761,99169,Gazela
2014,O,"Administração pública, defesa e seguridade social",84,"Administração pública, defesa e seguridade social",1,-1,-1,Gazela
2014,P,Educação,85,Educação,468,23925,23046,Gazela
2014,Q,Saúde humana e serviços sociais,86,Atividades de atenção à saúde humana,139,11542,11118,Gazela
2014,Q,Saúde humana e serviços sociais,87,"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",23,1539,1462,Gazela
2014,Q,Saúde humana e serviços sociais,88,Serviços de assistência social sem alojamento,-1,-1,-1,Gazela
2014,R,"Artes, cultura, esporte e recreação",90,"Atividades artísticas, criativas e de espetáculos",4,141,132,Gazela
2014,R,"Artes, cultura, esporte e recreação",91,Atividades ligadas ao patrimônio cultural e ambiental,2,-1,-1,Gazela
2014,R,"Artes, cultura, esporte e recreação",92,Atividades de exploração de jogos de azar e apostas,-1,-1,-1,Gazela
2014,R,"Artes, cultura, esporte e recreação",93,Atividades esportivas e de recreação e lazer,64,3821,3763,Gazela
2014,S,Outras atividades de serviços,94,Atividades de organizações associativas,4,148,132,Gazela
2014,S,Outras atividades de serviços,95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,69,5164,5063,Gazela
2014,S,Outras atividades de serviços,96,Outras atividades de serviços pessoais,105,7129,6985,Gazela
2014,U,Organismos internacionais e outras instituições extraterritoriais,99,Organismos internacionais e outras instituições extraterritoriais,-1,-1,-1,Gazela
2015,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",1,"Agricultura, pecuária e serviços relacionados",265,36581,35978,Alto Crescimento
2015,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",2,Produção florestal,57,11508,11354,Alto Crescimento
2015,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",3,Pesca e aquicultura,25,2778,2705,Alto Crescimento
2015,B,Indústrias extrativas,5,Extração de carvão mineral,-1,-1,-1,Alto Crescimento
2015,B,Indústrias extrativas,6,Extração de petróleo e gás natural,2,-1,-1,Alto Crescimento
2015,B,Indústrias extrativas,7,Extração de minerais metálicos,19,-1,-1,Alto Crescimento
2015,B,Indústrias extrativas,8,Extração de minerais não-metálicos,85,6401,6232,Alto Crescimento
2015,B,Indústrias extrativas,9,Atividades de apoio à extração de minerais,21,9884,9857,Alto Crescimento
2015,C,Indústrias de transformação,10,Fabricação de produtos alimentícios,816,271082,269793,Alto Crescimento
2015,C,Indústrias de transformação,11,Fabricação de bebidas,68,45249,45139,Alto Crescimento
2015,C,Indústrias de transformação,12,Fabricação de produtos do fumo,2,-1,-1,Alto Crescimento
2015,C,Indústrias de transformação,13,Fabricação de produtos têxteis,148,17005,16780,Alto Crescimento
2015,C,Indústrias de transformação,14,Confecção de artigos do vestuário e acessórios,661,56072,55204,Alto Crescimento
2015,C,Indústrias de transformação,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",272,33665,33294,Alto Crescimento
2015,C,Indústrias de transformação,16,Fabricação de produtos de madeira,196,12458,12167,Alto Crescimento
2015,C,Indústrias de transformação,17,"Fabricação de celulose, papel e produtos de papel",88,22399,22278,Alto Crescimento
2015,C,Indústrias de transformação,18,Impressão e reprodução de gravações,65,-1,-1,Alto Crescimento
2015,C,Indústrias de transformação,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",22,13057,13037,Alto Crescimento
2015,C,Indústrias de transformação,20,Fabricação de produtos químicos,179,36021,35754,Alto Crescimento
2015,C,Indústrias de transformação,21,Fabricação de produtos farmoquímicos e farmacêuticos,30,6751,6693,Alto Crescimento
2015,C,Indústrias de transformação,22,Fabricação de produtos de borracha e de material plástico,324,30332,29914,Alto Crescimento
2015,C,Indústrias de transformação,23,Fabricação de produtos de minerais não-metálicos,352,31651,31097,Alto Crescimento
2015,C,Indústrias de transformação,24,Metalurgia,55,9780,9718,Alto Crescimento
2015,C,Indústrias de transformação,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",400,27412,26810,Alto Crescimento
2015,C,Indústrias de transformação,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",68,18885,18781,Alto Crescimento
2015,C,Indústrias de transformação,27,"Fabricação de máquinas, aparelhos e materiais elétricos",107,17904,17741,Alto Crescimento
2015,C,Indústrias de transformação,28,Fabricação de máquinas e equipamentos,258,23766,23381,Alto Crescimento
2015,C,Indústrias de transformação,29,"Fabricação de veículos automotores, reboques e carrocerias",100,19477,19344,Alto Crescimento
2015,C,Indústrias de transformação,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",31,12264,12218,Alto Crescimento
2015,C,Indústrias de transformação,31,Fabricação de móveis,255,18168,17788,Alto Crescimento
2015,C,Indústrias de transformação,32,Fabricação de produtos diversos,114,8901,8717,Alto Crescimento
2015,C,Indústrias de transformação,33,"Manutenção, reparação e instalação de máquinas e equipamentos",213,19476,19198,Alto Crescimento
2015,D,Eletricidade e gás,35,"Eletricidade, gás e outras utilidades",32,-1,-1,Alto Crescimento
2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",36,"Captação, tratamento e distribuição de água",7,308,303,Alto Crescimento
2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",37,Esgoto e atividades relacionadas,17,2279,2260,Alto Crescimento
2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",114,25113,24968,Alto Crescimento
2015,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",39,Descontaminação e outros serviços de gestão de resíduos,3,186,185,Alto Crescimento
2015,F,Construção,41,Construção de edifícios,1416,172241,170045,Alto Crescimento
2015,F,Construção,42,Obras de infraestrutura,538,128499,127657,Alto Crescimento
2015,F,Construção,43,Serviços especializados para construção,944,94199,92817,Alto Crescimento
2015,G,Comércio; reparação de veículos automotores e motocicletas,45,Comércio e reparação de veículos automotores e motocicletas,579,40847,40131,Alto Crescimento
2015,G,Comércio; reparação de veículos automotores e motocicletas,46,"Comércio por atacado, exceto veículos automotores e motocicletas",1719,175992,173646,Alto Crescimento
2015,G,Comércio; reparação de veículos automotores e motocicletas,47,Comércio varejista,4541,390209,384256,Alto Crescimento
2015,H,"Transporte, armazenagem e correio",49,Transporte terrestre,1434,165075,162724,Alto Crescimento
2015,H,"Transporte, armazenagem e correio",50,Transporte aquaviário,36,3788,3747,Alto Crescimento
2015,H,"Transporte, armazenagem e correio",51,Transporte aéreo,12,11440,11421,Alto Crescimento
2015,H,"Transporte, armazenagem e correio",52,Armazenamento e atividades auxiliares dos transportes,302,51957,51529,Alto Crescimento
2015,H,"Transporte, armazenagem e correio",53,Correio e outras atividades de entrega,94,6923,6798,Alto Crescimento
2015,I,Alojamento e alimentação,55,Alojamento,233,21586,21219,Alto Crescimento
2015,I,Alojamento e alimentação,56,Alimentação,1197,91835,90171,Alto Crescimento
2015,J,Informação e comunicação,58,Edição e edição integrada à impressão,44,6945,6876,Alto Crescimento
2015,J,Informação e comunicação,59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",23,3792,3758,Alto Crescimento
2015,J,Informação e comunicação,60,Atividades de rádio e de televisão,30,2956,2921,Alto Crescimento
2015,J,Informação e comunicação,61,Telecomunicações,211,70759,70423,Alto Crescimento
2015,J,Informação e comunicação,62,Atividades dos serviços de tecnologia da informação,457,73505,72681,Alto Crescimento
2015,J,Informação e comunicação,63,Atividades de prestação de serviços de informação,81,7473,7348,Alto Crescimento
2015,K,"Atividades financeiras, de seguros e serviços relacionados",64,Atividades de serviços financeiros,200,23641,22476,Alto Crescimento
2015,K,"Atividades financeiras, de seguros e serviços relacionados",65,"Seguros, resseguros, previdência complementar e planos de saúde",50,20867,20642,Alto Crescimento
2015,K,"Atividades financeiras, de seguros e serviços relacionados",66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",95,11983,11789,Alto Crescimento
